standard,edition,flange_class,nps,od_in,od_mm,thickness_in,thickness_mm,bolt_circle_in,bolt_circle_mm,bolt_count,bolt_size_in,bolt_hole_in,bolt_hole_mm,rf_dia_in,rf_dia_mm,rf_height_in,lth_wn_in,lth_wn_mm,lth_so_in,lth_so_mm,source_doc,verified,verified_by,verified_against
ASME B16.5,UNSPECIFIED-verify,150,1/2,3.5,88.9,0.44,11.2,2.38,60.5,4,1/2,0.62,15.7,1.38,35.1,0.06,1.88,47.8,0.62,15.7,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,900,8,18.5,469.9,2.5,63.5,15.5,393.7,12,1-3/8,1.5,38.1,10.62,269.7,0.25,6.38,162.1,4.0,101.6,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,900,10,21.5,546.1,2.75,69.8,18.5,469.9,16,1-3/8,1.5,38.1,12.75,323.8,0.25,7.25,184.1,4.25,107.9,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,900,12,24.0,609.6,3.12,79.2,21.0,533.4,20,1-3/8,1.5,38.1,15.0,381.0,0.25,7.88,200.2,4.62,117.3,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,900,14,25.25,641.3,3.38,85.9,22.0,558.8,20,1-1/2,1.62,41.1,16.25,412.8,0.25,8.38,212.9,5.12,130.0,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,900,16,27.75,704.8,3.5,88.9,24.25,615.9,20,1-5/8,1.75,44.4,18.5,469.9,0.25,8.5,215.9,5.25,133.3,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,900,18,31.0,787.4,4.0,101.6,27.0,685.8,20,1-7/8,2.0,50.8,21.0,533.4,0.25,9.0,228.6,6.0,152.4,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,900,20,33.75,857.2,4.25,107.9,29.5,749.3,20,2,2.12,53.8,23.0,584.2,0.25,9.75,247.6,6.25,158.8,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,900,24,41.0,1041.4,5.5,139.7,35.5,901.7,20,2-1/2,2.62,66.5,27.25,692.1,0.25,11.5,292.1,8.0,203.2,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,1500,1/2,4.75,120.6,0.88,22.4,3.25,82.5,4,3/4,0.88,22.4,1.38,35.1,0.25,2.38,60.5,1.25,31.8,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,1500,3/4,5.12,130.0,1.0,25.4,3.5,88.9,4,3/4,0.88,22.4,1.69,42.9,0.25,2.75,69.8,1.38,35.1,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,1500,1,5.88,149.4,1.12,28.4,4.0,101.6,4,7/8,1.0,25.4,2.0,50.8,0.25,2.88,73.2,1.62,41.1,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,1500,1-1/4,6.25,158.8,1.12,28.4,4.38,111.3,4,7/8,1.0,25.4,2.5,63.5,0.25,2.88,73.2,1.62,41.1,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,1500,1-1/2,7.0,177.8,1.25,31.8,4.88,124.0,4,1,1.12,28.4,2.88,73.2,0.25,3.25,82.5,1.75,44.4,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,1500,2,8.5,215.9,1.5,38.1,6.5,165.1,8,7/8,1.0,25.4,3.62,91.9,0.25,4.0,101.6,2.25,57.1,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,1500,2-1/2,9.62,244.3,1.62,41.1,7.5,190.5,8,1,1.12,28.4,4.12,104.6,0.25,4.12,104.6,2.5,63.5,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,1500,3,10.5,266.7,1.88,47.8,8.0,203.2,8,1-1/8,1.25,31.8,5.0,127.0,0.25,4.62,117.3,2.62,66.5,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,1500,4,12.25,311.1,2.12,53.8,9.5,241.3,8,1-1/4,1.38,35.1,6.19,157.2,0.25,4.88,124.0,3.12,79.2,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,1500,5,14.75,374.6,2.88,73.2,11.5,292.1,8,1-1/2,1.62,41.1,7.31,185.7,0.25,6.12,155.4,4.12,104.6,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,1500,6,15.5,393.7,3.25,82.5,12.5,317.5,12,1-3/8,1.5,38.1,8.5,215.9,0.25,6.75,171.4,4.69,119.1,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,1500,8,19.0,482.6,3.62,91.9,15.5,393.7,12,1-5/8,1.75,44.4,10.62,269.7,0.25,8.38,212.9,5.62,142.7,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,1500,10,23.0,584.2,4.25,107.9,19.0,482.6,12,1-7/8,2.0,50.8,12.75,323.8,0.25,10.0,254.0,6.75,171.4,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,1500,12,26.5,673.1,4.88,124.0,22.5,571.5,16,2,2.12,53.8,15.0,381.0,0.25,11.12,282.4,7.38,187.5,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,1500,14,29.5,749.3,5.25,133.3,25.0,635.0,16,2-1/4,2.38,60.5,16.25,412.8,0.25,11.75,298.4,8.38,212.9,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,1500,16,32.5,825.5,5.75,146.0,27.75,704.8,16,2-1/2,2.62,66.5,18.5,469.9,0.25,12.25,311.1,9.12,231.6,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,1500,18,36.0,914.4,6.38,162.1,30.5,774.7,16,2-3/4,2.88,73.2,21.0,533.4,0.25,12.88,327.2,10.0,254.0,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,1500,20,38.75,984.2,7.0,177.8,32.75,831.8,16,3,3.12,79.2,23.0,584.2,0.25,14.0,355.6,11.0,279.4,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,1500,24,46.0,1168.4,8.0,203.2,39.0,990.6,16,3-1/2,3.62,91.9,27.25,692.1,0.25,16.0,406.4,13.0,330.2,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,2500,1/2,5.25,133.3,1.19,30.2,3.5,88.9,4,3/4,0.88,22.4,1.38,35.1,0.25,2.88,73.2,1.56,39.6,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,2500,3/4,5.5,139.7,1.25,31.8,3.75,95.2,4,3/4,0.88,22.4,1.69,42.9,0.25,3.12,79.2,1.69,42.9,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,2500,1,6.25,158.8,1.38,35.1,4.25,107.9,4,7/8,1.0,25.4,2.0,50.8,0.25,3.5,88.9,1.88,47.8,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,2500,1-1/4,7.25,184.1,1.5,38.1,5.12,130.0,4,1,1.12,28.4,2.5,63.5,0.25,3.75,95.2,2.06,52.3,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,2500,1-1/2,8.0,203.2,1.75,44.4,5.75,146.0,4,1-1/8,1.25,31.8,2.88,73.2,0.25,4.38,111.3,2.38,60.5,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,2500,2,9.25,234.9,2.0,50.8,6.75,171.4,8,1,1.12,28.4,3.62,91.9,0.25,5.0,127.0,2.75,69.8,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,2500,2-1/2,10.5,266.7,2.25,57.1,7.75,196.8,8,1-1/8,1.25,31.8,4.12,104.6,0.25,5.62,142.7,3.12,79.2,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,2500,3,12.0,304.8,2.62,66.5,9.0,228.6,8,1-1/4,1.38,35.1,5.0,127.0,0.25,6.62,168.1,3.62,91.9,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,2500,4,14.0,355.6,3.0,76.2,10.75,273.1,8,1-1/2,1.62,41.1,6.19,157.2,0.25,7.5,190.5,4.25,107.9,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,2500,5,16.5,419.1,3.62,91.9,12.75,323.8,8,1-3/4,1.88,47.8,7.31,185.7,0.25,9.0,228.6,5.12,130.0,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,2500,6,19.0,482.6,4.25,107.9,14.5,368.3,8,2,2.12,53.8,8.5,215.9,0.25,10.75,273.1,6.0,152.4,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,2500,8,21.75,552.4,5.0,127.0,17.25,438.1,12,2,2.12,53.8,10.62,269.7,0.25,12.5,317.5,7.0,177.8,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,2500,10,26.5,673.1,6.5,165.1,21.25,539.8,12,2-1/2,2.62,66.5,12.75,323.8,0.25,16.5,419.1,9.0,228.6,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,2500,12,30.0,762.0,7.25,184.1,24.38,619.3,12,2-3/4,2.88,73.2,15.0,381.0,0.25,18.25,463.5,10.0,254.0,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
